Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,0.9099999999999999,symmetric,-2.529318439075875
75% Corpus,10,symmetric,0.01,-1.9561063570772805
75% Corpus,10,symmetric,0.31,-6.0345846883398275
75% Corpus,10,symmetric,0.61,-8.22688778297575
75% Corpus,10,symmetric,0.9099999999999999,-6.031217269174438
75% Corpus,10,symmetric,symmetric,-3.1053247047571046
75% Corpus,10,asymmetric,0.01,-1.990291790125157
75% Corpus,10,asymmetric,0.31,-8.323653060726452
75% Corpus,10,asymmetric,0.61,-5.50667258275813
75% Corpus,10,asymmetric,0.9099999999999999,-5.465805190455336
75% Corpus,10,asymmetric,symmetric,-4.978133910149301
100% Corpus,2,0.01,0.01,-1.1532646728464693
100% Corpus,2,0.01,0.31,-1.0908522864386632
100% Corpus,2,0.01,0.61,-1.1067419193321482
100% Corpus,2,0.01,0.9099999999999999,-1.0912631138818736
100% Corpus,2,0.01,symmetric,-1.0748935018537964
100% Corpus,2,0.31,0.01,-1.1501660910787876
100% Corpus,2,0.31,0.31,-1.0870703275376772
100% Corpus,2,0.31,0.61,-1.1527728293620783
100% Corpus,2,0.31,0.9099999999999999,-1.1172364546497793
100% Corpus,2,0.31,symmetric,-1.0766938306820888
100% Corpus,2,0.61,0.01,-1.1651389967539902
100% Corpus,2,0.61,0.31,-1.1040205139752641
100% Corpus,2,0.61,0.61,-1.1243637116422358
100% Corpus,2,0.61,0.9099999999999999,-1.1376752523919484
100% Corpus,2,0.61,symmetric,-1.1204852680010484
100% Corpus,2,0.9099999999999999,0.01,-1.190154637809907
100% Corpus,2,0.9099999999999999,0.31,-1.114532290371855
100% Corpus,2,0.9099999999999999,0.61,-1.1364842136398288
100% Corpus,2,0.9099999999999999,0.9099999999999999,-1.1726094515502794
100% Corpus,2,0.9099999999999999,symmetric,-1.1281308909052412
100% Corpus,2,symmetric,0.01,-1.159136845918022
100% Corpus,2,symmetric,0.31,-1.105257899474151
100% Corpus,2,symmetric,0.61,-1.113778142541526
100% Corpus,2,symmetric,0.9099999999999999,-1.1373571103819005
100% Corpus,2,symmetric,symmetric,-1.0730752788409526
100% Corpus,2,asymmetric,0.01,-1.169307571244576
100% Corpus,2,asymmetric,0.31,-1.167346571552255
100% Corpus,2,asymmetric,0.61,-1.1177011237514418
100% Corpus,2,asymmetric,0.9099999999999999,-1.2180534844905466
100% Corpus,2,asymmetric,symmetric,-1.1148711241009996
100% Corpus,3,0.01,0.01,-1.2137317220512518
100% Corpus,3,0.01,0.31,-1.2139933027731729
100% Corpus,3,0.01,0.61,-1.1162619806656382
100% Corpus,3,0.01,0.9099999999999999,-1.1647125607803568
100% Corpus,3,0.01,symmetric,-1.2190903309736667
100% Corpus,3,0.31,0.01,-1.2888773846804344
100% Corpus,3,0.31,0.31,-1.2206090724943508
100% Corpus,3,0.31,0.61,-1.2261952469691637
100% Corpus,3,0.31,0.9099999999999999,-1.1614812771533478
100% Corpus,3,0.31,symmetric,-1.2204152626414853
100% Corpus,3,0.61,0.01,-1.3133582159119446
100% Corpus,3,0.61,0.31,-1.3492384358604659
100% Corpus,3,0.61,0.61,-1.3158505860545322
100% Corpus,3,0.61,0.9099999999999999,-1.2315394877951886
100% Corpus,3,0.61,symmetric,-1.3504357096952215
100% Corpus,3,0.9099999999999999,0.01,-1.3407315416959193
100% Corpus,3,0.9099999999999999,0.31,-1.3346249629144917
100% Corpus,3,0.9099999999999999,0.61,-1.2940303866592169
100% Corpus,3,0.9099999999999999,0.9099999999999999,-1.206872689596307
100% Corpus,3,0.9099999999999999,symmetric,-1.300790219969303
100% Corpus,3,symmetric,0.01,-1.2852163917304482
100% Corpus,3,symmetric,0.31,-1.2257695611320145
100% Corpus,3,symmetric,0.61,-1.2910483277586275
100% Corpus,3,symmetric,0.9099999999999999,-1.1815841624556211
100% Corpus,3,symmetric,symmetric,-1.2195349491308811
100% Corpus,3,asymmetric,0.01,-1.2765419552765838
100% Corpus,3,asymmetric,0.31,-1.1792430422209437
100% Corpus,3,asymmetric,0.61,-1.1411696093560646
100% Corpus,3,asymmetric,0.9099999999999999,-1.388488288845114
100% Corpus,3,asymmetric,symmetric,-1.1772505036129928
100% Corpus,4,0.01,0.01,-1.2230031732571196
100% Corpus,4,0.01,0.31,-1.1798565756383905
100% Corpus,4,0.01,0.61,-1.2274531299954408
100% Corpus,4,0.01,0.9099999999999999,-5.1026103928459765
100% Corpus,4,0.01,symmetric,-1.1760911271257295
100% Corpus,4,0.31,0.01,-1.2485027218906959
100% Corpus,4,0.31,0.31,-1.252327035608188
100% Corpus,4,0.31,0.61,-1.2461577769267658
100% Corpus,4,0.31,0.9099999999999999,-5.337738147745275
100% Corpus,4,0.31,symmetric,-1.2518141187346685
100% Corpus,4,0.61,0.01,-1.296805028284879
100% Corpus,4,0.61,0.31,-1.2783367425451952
100% Corpus,4,0.61,0.61,-1.2722609592557526
100% Corpus,4,0.61,0.9099999999999999,-3.4993550152838804
100% Corpus,4,0.61,symmetric,-1.275583334437517
100% Corpus,4,0.9099999999999999,0.01,-1.3124945008418334
100% Corpus,4,0.9099999999999999,0.31,-1.301409052119662
100% Corpus,4,0.9099999999999999,0.61,-1.2975952280545715
100% Corpus,4,0.9099999999999999,0.9099999999999999,-1.6069160403811962
100% Corpus,4,0.9099999999999999,symmetric,-1.3018608853669624
100% Corpus,4,symmetric,0.01,-1.2767883228232455
100% Corpus,4,symmetric,0.31,-1.2525110162898558
100% Corpus,4,symmetric,0.61,-1.2272919979278778
100% Corpus,4,symmetric,0.9099999999999999,-5.370234547237281
100% Corpus,4,symmetric,symmetric,-1.2486937307227515
100% Corpus,4,asymmetric,0.01,-1.2337015669040117
100% Corpus,4,asymmetric,0.31,-1.265342711762388
100% Corpus,4,asymmetric,0.61,-3.7911969321099956
100% Corpus,4,asymmetric,0.9099999999999999,-6.348922973312512
100% Corpus,4,asymmetric,symmetric,-1.3180240772059688
100% Corpus,5,0.01,0.01,-2.044811492918073
100% Corpus,5,0.01,0.31,-3.5478195187983985
100% Corpus,5,0.01,0.61,-4.410755108467454
100% Corpus,5,0.01,0.9099999999999999,-4.492048453570783
100% Corpus,5,0.01,symmetric,-3.6540390728129184
100% Corpus,5,0.31,0.01,-1.4612978149058193
100% Corpus,5,0.31,0.31,-3.4241656088193944
100% Corpus,5,0.31,0.61,-3.870400449517505
100% Corpus,5,0.31,0.9099999999999999,-9.400139685193011
100% Corpus,5,0.31,symmetric,-2.4428633359689322
100% Corpus,5,0.61,0.01,-1.2885251937869888
100% Corpus,5,0.61,0.31,-2.266648828569724
100% Corpus,5,0.61,0.61,-3.681931803933824
100% Corpus,5,0.61,0.9099999999999999,-5.814095823618166
100% Corpus,5,0.61,symmetric,-1.616779388516544
100% Corpus,5,0.9099999999999999,0.01,-1.261610399543307
100% Corpus,5,0.9099999999999999,0.31,-1.664861592080938
100% Corpus,5,0.9099999999999999,0.61,-3.2329561122401813
100% Corpus,5,0.9099999999999999,0.9099999999999999,-4.751787945942992
100% Corpus,5,0.9099999999999999,symmetric,-1.4793272175970174
100% Corpus,5,symmetric,0.01,-1.6323841279291156
100% Corpus,5,symmetric,0.31,-3.5881106453695493
100% Corpus,5,symmetric,0.61,-3.8925123454095
100% Corpus,5,symmetric,0.9099999999999999,-4.3664473258739065
100% Corpus,5,symmetric,symmetric,-2.9890990508075475
100% Corpus,5,asymmetric,0.01,-1.6985901454770194
100% Corpus,5,asymmetric,0.31,-3.600270125676482
100% Corpus,5,asymmetric,0.61,-4.885273748697231
100% Corpus,5,asymmetric,0.9099999999999999,-8.006676981431259
100% Corpus,5,asymmetric,symmetric,-3.887881609623379
100% Corpus,6,0.01,0.01,-2.0499726139730594
100% Corpus,6,0.01,0.31,-5.413021629137976
100% Corpus,6,0.01,0.61,-6.214110357974263
100% Corpus,6,0.01,0.9099999999999999,-4.669162837573214
100% Corpus,6,0.01,symmetric,-4.422449617766345
100% Corpus,6,0.31,0.01,-1.6973356786194393
100% Corpus,6,0.31,0.31,-4.852356901425836
100% Corpus,6,0.31,0.61,-6.502082390555356
100% Corpus,6,0.31,0.9099999999999999,-5.800505387548266
100% Corpus,6,0.31,symmetric,-3.914947207317559
100% Corpus,6,0.61,0.01,-1.3401160861102994
100% Corpus,6,0.61,0.31,-3.256589286803555
100% Corpus,6,0.61,0.61,-6.349038098969974
100% Corpus,6,0.61,0.9099999999999999,-6.303767896312084
100% Corpus,6,0.61,symmetric,-2.4517599170280726
100% Corpus,6,0.9099999999999999,0.01,-1.2283517594536828
100% Corpus,6,0.9099999999999999,0.31,-2.436553986522496
100% Corpus,6,0.9099999999999999,0.61,-6.265981932481798
100% Corpus,6,0.9099999999999999,0.9099999999999999,-5.709978348474574
100% Corpus,6,0.9099999999999999,symmetric,-1.8432625064049393
100% Corpus,6,symmetric,0.01,-1.9797772341412465
100% Corpus,6,symmetric,0.31,-5.5280171268938005
100% Corpus,6,symmetric,0.61,-6.537226595226706
100% Corpus,6,symmetric,0.9099999999999999,-5.84860805937907
100% Corpus,6,symmetric,symmetric,-4.55579989210415
100% Corpus,6,asymmetric,0.01,-2.303514911845539
100% Corpus,6,asymmetric,0.31,-5.67267647449556
100% Corpus,6,asymmetric,0.61,-6.585617604523652
100% Corpus,6,asymmetric,0.9099999999999999,-9.55347086844599
100% Corpus,6,asymmetric,symmetric,-5.041292875882379
100% Corpus,7,0.01,0.01,-2.0106480901525203
100% Corpus,7,0.01,0.31,-6.910473233332678
100% Corpus,7,0.01,0.61,-6.635305189456385
100% Corpus,7,0.01,0.9099999999999999,-5.300599905438235
100% Corpus,7,0.01,symmetric,-4.568572558441457
100% Corpus,7,0.31,0.01,-1.6231829639875037
100% Corpus,7,0.31,0.31,-5.283119142886052
100% Corpus,7,0.31,0.61,-6.86159664173084
100% Corpus,7,0.31,0.9099999999999999,-4.718692177898002
100% Corpus,7,0.31,symmetric,-4.151856472861973
100% Corpus,7,0.61,0.01,-1.37556154614786
100% Corpus,7,0.61,0.31,-4.710703218948888
100% Corpus,7,0.61,0.61,-7.518420282730487
100% Corpus,7,0.61,0.9099999999999999,-4.011112677049469
100% Corpus,7,0.61,symmetric,-2.74421160817836
100% Corpus,7,0.9099999999999999,0.01,-1.3394571339620864
100% Corpus,7,0.9099999999999999,0.31,-2.690877004407959
100% Corpus,7,0.9099999999999999,0.61,-7.241935186948916
100% Corpus,7,0.9099999999999999,0.9099999999999999,-5.750229889268587
100% Corpus,7,0.9099999999999999,symmetric,-1.9007331497790498
100% Corpus,7,symmetric,0.01,-1.9636404659994573
100% Corpus,7,symmetric,0.31,-6.4215177289355045
100% Corpus,7,symmetric,0.61,-6.023453925412824
100% Corpus,7,symmetric,0.9099999999999999,-4.376060625501739
100% Corpus,7,symmetric,symmetric,-4.0835747909870035
100% Corpus,7,asymmetric,0.01,-1.9193471722889923
100% Corpus,7,asymmetric,0.31,-7.2774981176853775
100% Corpus,7,asymmetric,0.61,-7.403607847641587
100% Corpus,7,asymmetric,0.9099999999999999,-9.31897637055317
100% Corpus,7,asymmetric,symmetric,-5.719874619128461
100% Corpus,8,0.01,0.01,-2.082940445051047
100% Corpus,8,0.01,0.31,-5.763281421355611
100% Corpus,8,0.01,0.61,-7.6096083370742855
100% Corpus,8,0.01,0.9099999999999999,-5.427898285457228
100% Corpus,8,0.01,symmetric,-4.032676010263909
100% Corpus,8,0.31,0.01,-1.883210264757837
100% Corpus,8,0.31,0.31,-6.605399745599232
100% Corpus,8,0.31,0.61,-7.767315874183517
100% Corpus,8,0.31,0.9099999999999999,-7.015683973446396
100% Corpus,8,0.31,symmetric,-3.676215433600178
100% Corpus,8,0.61,0.01,-1.5241703092040817
100% Corpus,8,0.61,0.31,-5.500856654370817
100% Corpus,8,0.61,0.61,-7.955199219726968
100% Corpus,8,0.61,0.9099999999999999,-8.31862860929486
100% Corpus,8,0.61,symmetric,-3.2817303295644993
100% Corpus,8,0.9099999999999999,0.01,-1.377679251662884
100% Corpus,8,0.9099999999999999,0.31,-3.7302320715257573
100% Corpus,8,0.9099999999999999,0.61,-7.460903354421773
100% Corpus,8,0.9099999999999999,0.9099999999999999,-9.079682043752864
100% Corpus,8,0.9099999999999999,symmetric,-2.1891763374991697
100% Corpus,8,symmetric,0.01,-1.7241175200565984
100% Corpus,8,symmetric,0.31,-6.068990011865714
100% Corpus,8,symmetric,0.61,-8.239538646042737
100% Corpus,8,symmetric,0.9099999999999999,-4.589476889665789
100% Corpus,8,symmetric,symmetric,-3.9238956562136753
100% Corpus,8,asymmetric,0.01,-2.7500939021746778
100% Corpus,8,asymmetric,0.31,-8.126356342171938
